Rank,Gold,Silver,Bronze,S Tier,Winrate
80,4,1,1,0,Low
81,2,0,0,0,Low
82,12,6,2,0,High
83,3,3,0,0,Low
84,3,0,1,0,Low
85,8,7,1,0,Medium
86,12,4,3,0,High
87,11,4,0,0,High
88,7,0,2,0,Medium
89,4,3,1,0,Low
90,12,4,2,0,High
91,25,9,6,0,High
92,9,6,0,0,Medium
93,14,12,6,0,High
94,6,10,2,0,Medium
95,6,5,1,0,Medium
95,6,0,0,0,Medium
97,3,1,0,0,Low
98,5,0,0,0,Low
99,5,0,0,0,Low
99,5,0,0,0,Low
101,4,2,0,0,Low
102,8,6,3,0,Medium
103,18,3,0,0,High
104,17,3,0,0,High
105,16,3,0,0,High
106,13,3,0,0,High
107,4,3,0,0,Low
108,5,10,1,0,Low
109,4,1,0,0,Low
110,13,3,2,0,High
111,8,2,1,0,Medium
112,3,2,0,0,Low
113,2,3,0,0,Low
114,3,3,1,0,Low
115,2,3,0,0,Low
116,6,1,0,0,Medium
117,23,7,4,0,High
118,20,7,6,0,High
119,9,5,2,0,Medium
120,5,1,1,0,Low
121,4,2,1,0,Low
122,4,2,0,0,Low
123,5,2,3,0,Low
124,6,2,2,0,Medium
125,18,6,2,0,High
126,8,2,1,0,Medium
127,4,4,1,0,low
128,15,2,1,0,High
129,5,4,3,0,Low
130,10,4,1,0,Medium
130,10,4,2,0,Medium
132,9,4,1,0,Medium
132,9,4,1,0,Medium
134,6,2,0,0,Medium
135,4,2,2,0,Low
136,16,3,2,0,High
136,16,3,3,0,High
138,3,2,1,0,Low
139,1,7,1,0,Low
140,2,8,1,0,Low
141,14,5,1,0,High
142,7,2,0,0,Medium
143,2,3,0,0,Low
144,5,0,0,0,Low
144,5,0,0,0,Low
146,8,5,1,0,Medium
147,6,2,3,0,Medium
147,6,3,3,0,Medium
149,6,2,3,0,Medium
150,13,5,1,0,High
151,12,1,4,0,High
152,20,10,3,0,High
153,2,10,4,0,Low
154,0,8,1,0,Low
155,19,10,3,0,High
156,6,2,2,0,Medium
157,18,7,3,0,High
158,18,6,2,0,High
159,9,4,0,0,Medium
160,11,7,1,0,High
161,5,3,3,0,Low
162,2,5,6,0,Low
163,7,9,4,0,Medium
164,9,2,2,0,Medium
165,3,0,2,0,Low
166,17,6,2,0,High
167,6,5,3,0,Medium
168,11,6,2,0,High
169,2,3,2,0,Low
170,1,8,4,0,Low
171,1,4,3,0,Low
172,14,13,1,0,High
173,12,3,0,0,High
174,2,4,0,0,low
175,3,3,1,0,low
176,4,2,3,0,low
177,2,6,4,0,low
178,3,3,0,0,Low
179,8,5,3,0,Medium
179,8,5,3,0,Medium
181,8,5,2,0,Medium
182,7,6,1,0,Medium
183,3,3,0,0,Low
184,10,3,4,0,Medium
185,2,3,1,0,Low
186,12,4,2,0,High
187,9,3,0,0,Medium
188,2,3,2,0,Low
189,9,3,2,0,Medium
190,2,4,2,0,Low
191,4,5,4,0,Low
192,8,6,0,0,Medium
193,3,4,2,0,Low
194,3,3,1,0,Low
194,5,2,6,0,Low
196,7,4,2,0,Medium
197,6,5,2,0,Medium
198,6,2,1,0,Medium
199,12,7,0,0,High
200,12,6,0,0,High
201,13,3,0,0,High
202,4,6,3,0,Low
203,3,0,3,0,Low
204,5,5,1,0,Low
205,12,2,0,0,High
206,14,4,0,0,High
207,4,5,6,0,Low
208,9,8,0,0,Medium
209,3,2,1,0,Low
210,8,7,0,0,Medium
211,1,6,2,0,Low
212,1,4,1,0,Low
213,6,3,5,0,Medium
214,3,2,1,0,Low
215,9,6,2,0,Medium
216,3,3,2,0,Low
217,2,0,0,0,Low
218,7,3,2,0,Medium
219,10,5,1,0,Medium
220,2,2,3,0,Low
221,4,6,1,0,Low
222,13,3,1,0,High
223,4,2,1,0,low
224,0,3,1,0,low
225,9,3,1,0,Medium
226,5,3,1,0,low
227,4,7,2,0,Medium
228,7,3,1,0,Medium
229,10,2,3,0,Medium
230,21,12,8,0,High
231,7,5,3,0,Medium
232,7,5,2,0,Medium
233,9,4,1,0,Medium
234,3,0,2,0,Low
235,6,4,3,0,Medium
236,12,12,6,0,High
237,18,9,4,0,High
238,5,3,1,0,Low
239,4,2,0,0,Low
240,3,1,0,0,Low
241,1,9,1,0,Low
242,4,6,2,0,Low
243,3,5,0,0,Low
244,6,7,5,0,Medium
245,9,5,1,0,Medium
246,2,1,0,0,Low
247,2,4,1,0,Low
248,2,6,1,0,Low
249,0,3,1,0,Low
250,3,3,2,0,Low
251,1,3,0,0,Low
252,2,4,2,0,Low
253,5,2,0,0,Low
254,10,1,2,0,Medium
255,11,1,2,0,High
256,6,8,1,0,Medium
257,6,7,2,0,Medium
258,0,3,2,0,Low
259,9,6,3,0,Medium
260,6,6,2,0,Medium
261,8,6,2,0,Medium
262,2,7,2,0,Low
263,8,4,1,0,Medium
264,26,9,3,0,High
265,2,4,1,0,Low
266,1,1,0,0,Low
267,7,5,0,0,Medium
268,5,2,2,0,Low
269,8,3,4,0,Medium
270,4,7,2,0,Low
271,4,2,1,0,Low
272,1,1,0,0,low
273,7,3,4,0,Medium
273,7,3,4,0,Medium
275,1,2,1,0,Low
276,5,6,1,0,Low
277,12,6,6,0,High
277,12,6,6,0,High
279,11,1,2,0,High
280,4,2,1,0,Low
281,3,2,2,0,Low
282,10,0,2,0,Medium
283,7,5,2,0,Medium
284,2,1,0,0,Low
285,7,6,2,0,Medium
286,5,3,3,0,Low
287,8,6,3,0,Medium
288,4,2,1,0,Low
289,4,2,1,0,Low
290,7,5,2,0,Medium
291,3,3,1,0,Low
292,6,5,2,0,Medium
293,5,3,0,0,Low
293,8,6,2,0,Medium
295,9,1,2,0,Medium
296,4,3,0,0,Low
297,2,4,2,0,Low
298,3,1,0,0,Low
299,0,3,1,0,Low
300,13,1,2,0,High
301,13,4,4,0,High
302,14,10,1,0,High
303,8,5,2,0,Medium
304,5,3,1,0,Low
305,12,8,5,0,High
306,7,5,3,0,Medium
306,6,6,1,0,Medium
306,8,0,2,0,Medium
309,0,1,1,0,Low
310,13,5,2,0,High
310,13,6,2,0,High
312,0,2,1,0,Low
313,7,5,0,0,Medium
313,7,5,0,0,Medium
315,3,9,4,0,Low
316,1,4,1,0,Low
317,2,1,0,0,Low
318,4,3,2,0,Low
319,5,2,1,0,Low
320,21,5,2,0,High
321,7,3,2,0,Medium
322,7,5,1,0,Medium
323,5,5,2,0,Low
324,7,3,4,0,Medium
325,13,8,6,0,High
326,0,1,0,0,Low
327,10,4,1,0,Medium
328,3,5,4,0,Low
329,3,4,3,0,Low
330,7,11,7,0,Medium
331,5,7,3,0,Low
332,7,5,0,0,Medium
333,5,7,5,0,Low
334,4,7,2,0,Low
335,5,8,3,0,Low
336,7,3,2,0,Medium
337,3,4,0,0,Low
338,2,3,0,0,Low
339,11,6,2,0,High
340,4,8,4,0,Low
341,0,3,1,0,Low
342,7,6,2,0,Medium
343,1,1,0,0,Low
344,7,2,1,0,Medium
345,2,1,2,0,Low
346,7,4,1,0,Medium
347,16,7,1,0,High
348,4,12,5,0,Low
349,16,4,1,0,High
350,16,2,1,0,High
351,15,4,1,0,High
352,15,2,1,0,High
353,15,2,1,0,High
354,4,7,4,0,Low
355,6,8,8,0,Medium
356,8,2,3,0,Medium
357,0,2,0,0,Low
358,1,2,0,0,Low
359,6,4,1,0,Medium
360,6,11,5,0,Medium
361,5,10,6,0,Low
362,23,4,1,0,High
363,7,3,1,0,Medium
364,9,1,2,0,Medium
365,2,2,1,0,Low
366,3,2,3,0,Low
367,4,4,3,0,Low
368,9,3,0,0,Medium
369,4,7,3,0,Low
370,14,9,1,0,High
371,11,4,2,0,High
372,8,8,2,0,Medium
373,7,0,2,0,Medium
374,3,2,1,0,Low
375,7,3,1,0,Medium
376,6,0,2,0,Medium
377,3,2,4,0,Low
378,5,0,2,0,Low
379,3,4,0,0,Low
380,4,3,0,0,Low
380,3,2,2,0,Low
382,3,6,5,0,Low
383,6,3,2,0,Medium
383,6,3,2,0,Medium
383,6,3,2,0,Medium
386,4,3,2,0,Low
387,7,4,3,0,Medium
388,10,1,2,0,Medium
389,1,6,0,0,Low
390,3,2,2,0,Low
390,3,2,2,0,Low
390,3,2,2,0,Low
393,6,3,2,0,Medium
394,4,0,3,0,Low
395,5,8,4,0,Low
396,12,3,2,0,High
397,3,8,1,0,Low
398,7,1,1,0,Medium
399,3,2,3,0,Low
400,1,3,1,0,Low
401,2,0,1,0,Low
402,6,8,2,0,Medium
403,13,3,4,0,High
404,0,0,1,0,Low
405,2,1,1,0,Low
405,2,1,1,0,Low
405,2,1,1,0,Low
405,2,1,1,0,Low
409,3,2,1,0,Low
410,3,1,0,0,Low
411,8,0,1,0,Medium
412,2,4,3,0,Low
413,3,1,2,0,Low
414,3,1,0,0,Low
415,14,4,1,0,High
416,9,3,0,0,Medium
417,7,0,1,0,Medium
418,8,4,1,0,Medium
419,4,2,1,0,Low
419,5,3,1,0,Low
421,5,4,1,0,Low
422,6,9,0,0,Medium
423,0,2,0,0,Low
424,8,9,2,0,Medium
425,8,7,2,0,Medium
426,5,7,4,0,Low
427,4,3,1,0,Low
428,5,3,1,0,Low
429,3,4,3,0,Low
430,9,7,0,0,Medium
431,18,2,1,0,High
432,10,12,2,0,Medium
433,10,5,3,0,Medium
434,1,0,1,0,Low
435,2,4,2,0,Low
436,8,8,0,0,Medium
437,6,6,4,0,Medium
438,7,6,0,0,Medium
439,6,3,1,0,Medium
440,1,2,0,0,Low
441,4,2,0,0,Low
442,11,2,0,0,High
443,7,4,5,0,Medium
444,4,3,1,0,Low
445,8,12,2,0,Medium
445,8,12,2,0,Medium
447,3,2,6,0,Low
448,3,1,2,0,Low
449,6,7,0,0,Medium
450,8,1,1,0,Medium
451,2,4,0,0,Low
451,2,4,0,0,Low
453,15,8,1,0,High
454,7,7,1,0,Medium
455,10,6,3,0,Medium
456,5,6,2,0,Low
457,1,0,1,0,Low
458,1,5,0,0,Low
459,4,3,3,0,Low
460,7,7,0,0,Medium
461,4,6,1,0,Low
462,5,5,1,0,Low
463,4,3,3,0,Low
464,10,2,0,0,Medium
465,8,3,2,0,Medium
466,7,3,2,0,Medium
466,7,3,2,0,Medium
468,9,3,2,0,Medium
469,7,7,0,0,Medium
470,14,8,1,0,High
471,2,1,2,0,Low
472,12,6,2,0,High
473,3,6,1,0,Low
473,3,6,1,0,Low
475,2,6,0,0,Low
476,10,3,1,0,Medium
477,2,1,0,0,Low
478,4,2,2,0,Low
479,12,4,1,0,High
480,8,10,2,0,Medium
481,5,7,0,0,Low
482,3,6,1,0,Low
483,4,9,0,0,Low
484,2,3,3,0,Low
485,3,4,3,0,Low
486,10,7,0,0,Medium
487,7,5,2,0,Medium
488,3,8,1,0,Low
489,5,7,1,0,Low
490,3,8,1,0,Low
491,2,1,0,0,Low
492,4,3,0,0,Low
493,9,10,4,0,Medium
494,3,4,1,0,Low
494,3,4,1,0,Low
496,3,4,1,0,Low
497,3,1,1,0,Low
498,7,2,5,0,Medium
499,19,10,2,0,High
500,6,4,2,0,Medium
